date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:48:56	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2020%20Apr%202023%2017:18:58%20GMT	https://imgur.com/p0wdadG.png	C:/My%20Web%20Sites/JS%20Final%20Project/imgur.com/p0wdadG.f.delayed	(from https://test-hosting-8f9bf.web.app/index.html)
22:48:58	15355/15355	---M--	200	added ('OK')	image/png	etag:%223f20e3ea9fab6efdc5da375324af9458%22	https://i.imgur.com/OKAY6Fl.png	C:/My%20Web%20Sites/JS%20Final%20Project/i.imgur.com/OKAY6Fl.png	(from https://test-hosting-8f9bf.web.app/index.html)
22:48:58	438/438	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2026%20Nov%202019%2018:19:10%20GMT	https://test-hosting-8f9bf.web.app/base.js	C:/My%20Web%20Sites/JS%20Final%20Project/test-hosting-8f9bf.web.app/base.js	(from https://test-hosting-8f9bf.web.app/index.html)
22:48:58	4177/4177	---M-Z	200	added ('OK')	text/html	date:Tue,%2026%20Nov%202019%2018:19:10%20GMT	https://test-hosting-8f9bf.web.app/	C:/My%20Web%20Sites/JS%20Final%20Project/test-hosting-8f9bf.web.app/index-2.html	(from https://test-hosting-8f9bf.web.app/index.html)
22:48:59	3108/3108	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2026%20Nov%202019%2018:19:10%20GMT	https://test-hosting-8f9bf.web.app/index.js	C:/My%20Web%20Sites/JS%20Final%20Project/test-hosting-8f9bf.web.app/index.js	(from https://test-hosting-8f9bf.web.app/index.html)
22:49:00	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2020%20Apr%202023%2017:19:01%20GMT	http://cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.min.js	C:/My%20Web%20Sites/JS%20Final%20Project/cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.min.14.delayed	(from https://test-hosting-8f9bf.web.app/index.html)
22:49:00	913515/913515	---M--	200	added ('OK')	image/png	etag:%22eaed7b0f6899d7e06d14e0482fd35ec3%22	https://i.imgur.com/sfjg9R8.png	C:/My%20Web%20Sites/JS%20Final%20Project/i.imgur.com/sfjg9R8.png	(from https://test-hosting-8f9bf.web.app/index.html)
22:49:01	42863/42863	---M-Z	200	added ('OK')	application/javascript	etag:W/%22a76f-O0GzvJVmhQFaNHoiOOcdsp36Dbs%22	https://cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.min.js	C:/My%20Web%20Sites/JS%20Final%20Project/cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.min.js	(from https://test-hosting-8f9bf.web.app/index.html)
22:49:01	1659/1659	---M-Z	200	added ('OK')	text/css	date:Tue,%2026%20Nov%202019%2018:19:10%20GMT	https://test-hosting-8f9bf.web.app/checkout.css	C:/My%20Web%20Sites/JS%20Final%20Project/test-hosting-8f9bf.web.app/checkout.css	(from https://test-hosting-8f9bf.web.app/checkout.html)
22:49:01	3616/3616	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2026%20Nov%202019%2018:19:10%20GMT	https://test-hosting-8f9bf.web.app/checkout.js	C:/My%20Web%20Sites/JS%20Final%20Project/test-hosting-8f9bf.web.app/checkout.js	(from https://test-hosting-8f9bf.web.app/checkout.html)
22:49:04	826335/826335	---M--	200	added ('OK')	image/png	etag:%2298185bf3385c7077b15837b1fd4dda48%22	https://i.imgur.com/p0wdadG.png	C:/My%20Web%20Sites/JS%20Final%20Project/i.imgur.com/p0wdadG.png	(from https://test-hosting-8f9bf.web.app/index.html)
